Dates,SPX-INDEX,ED,PFE,ORCL,TMO,MS,HBAN,MCK,PSA,HAL,INTC,AEP,BEN,MAR,QCOM,YUM,KMB,TFC,DTE,SLB,IP,GEN,STT,AMGN,MCHP,MRK,WHR,SJM,NUE,AKAM,VRSN,CNP,BMY,HPQ,NTAP,ORLY,SNA,K,MAS,C,WFC,HON,ADI,T,GL,HST,IPG,RF,CAG,EMN,PGR,PLD,UNP,RL,AON,AEE,CSCO,PNW,COR,CMI,COF,WY,BALL,AMAT,PPL,EQR,LH,FDX,ADSK,CMS,GS,WM,IFF,AES,J,CI,MKC,GWW,PPG,WBA,JCI,CINF,DRI,PEG,NEM,USB,BAX,MMM,XEL,LLY,MSFT,BBWI,PHM,BAC,ROP,DVA,IRM,OMC,CVS,ECL,EMR,COST,GE,AVY,CTAS,SO,APD,FITB,WAT,LEN,DE,WEC,PWR,NSC,KO,ADP,KEY,ADBE,RVTY,NEE,KR,APH,IVZ,ADM,EXPD,SCHW,FE,TT,RSG,MU,DHI,NI,ETN,DGX,SEE,PCAR,CCL,SRE,GLW,DIS,SWK,BKNG,JNJ,VZ,TXN,ITW,CPB,UNH,HAS,AMT,BK,TRV,CAT,BSX,NKE,PAYX,EG,TROW,DOV,HD,MDT,PEP,EFX,BDX,AFL,F,EXC,CHRW,SPG,ALL,XRAY,ETR,HUM,SHW,CMCSA,ZION,EIX,ABT,IBM,CAH,SYY,NVDA,LUV,GILD,AIG,LOW,ES,L,MMC,EL,SYK,DHR,ROK,PNC,TGT,BXP,MCD,PH,CMA,WMT,TSN,MTB,MSI,GIS,KLAC,CTSH,EA,BIIB,WDC,VFC,AZO,D,HIG,FCX,CLX,CL,JPM,GPC,AAPL,CSX,PG,NTRS,VMC,TJX,BBY,HSY,DUK,MCO,EBAY,AXP,FI,BRK-B
1999-11-12,1396.06005859375,11.3103,14.5667,13.3501,11.2643,31.3659,12.7691,17.6098,9.4116,14.4519,21.9309,11.6804,6.0231,12.9268,30.6474,5.1119,29.0616,15.2611,10.2486,20.4904,22.1756,2.2968,25.3137,33.3241,5.5903,30.3682,35.0301,10.9132,6.5029,177.3,71.5307,9.4025,32.5139,11.5452,17.7248,10.9075,16.4187,14.7103,15.1112,229.9854,12.3223,33.7264,19.8,10.0489,12.1665,3.975,26.3045,11.7942,8.2771,8.9446,4.3238,6.4955,8.2798,13.1546,27.2609,12.0485,28.7617,12.1895,2.5008,5.9595,37.7898,10.4529,1.9384,20.1379,4.2404,6.3252,6.2911,38.2722,5.2958,16.547,58.4519,6.919,34.6389,18.5658,7.6558,24.0662,5.0278,29.9007,16.4737,16.7263,5.1425,15.9684,6.7984,6.9967,15.1333,12.8573,11.7993,24.5831,7.5851,38.9954,27.7042,5.2293,4.3943,17.0396,14.722,2.3133,3.5048,26.1299,12.4873,13.146,14.4179,30.6984,148.6592,34.4879,26.7875,3.3948,17.8153,24.6068,23.28,6.1653,12.1717,4.911,20.2526,14.5059,14.9362,23.7761,12.3277,18.6467,15.822,2.709,8.8695,1.7604,8.4391,7.1641,7.7915,21.2042,8.2584,12.7124,4.9976,36.1748,2.9853,2.8465,9.9558,5.588,19.2424,2.4148,27.9323,4.4657,20.6092,19.4895,17.0051,339.78,28.3363,18.5555,33.0481,18.7201,22.6183,5.3907,12.0778,18.5319,25.4906,18.5757,14.68,10.625,4.2865,14.3717,16.6131,10.0325,18.991,33.0606,23.9866,18.3916,12.0257,19.4614,8.023,20.7828,5.4007,5.2023,7.0375,15.9351,6.7478,11.0272,6.7628,5.0116,10.6233,40.8133,13.9262,9.0132,50.3783,14.1706,10.5117,0.6117,10.1833,1.0969,884.5581,10.5512,10.3486,9.1134,23.6561,16.012,12.4639,7.3717,10.551,29.4373,19.4365,9.6231,26.6485,19.8284,27.2496,38.5021,12.3318,26.7843,174.373,9.914,25.8939,0.9956,21.8945,19.77,3.0059,3.6426,28.69,8.9427,29.8876,5.4354,23.7536,17.3375,27.1483,12.0235,0.6858,1.4702,28.5605,30.5795,28.9776,2.2032,14.3691,14.1915,15.579,6.1312,6.7669,32.5475,5.7083,39.36
1999-11-19,1422.0,11.262,13.9945,15.6048,11.8296,32.5108,12.5287,19.1138,9.7427,14.5801,22.993,11.4389,6.1381,12.0628,29.7637,5.0373,29.2835,14.6606,10.1539,20.9669,21.683,2.1813,24.9649,34.3209,5.7288,31.7438,33.5439,10.538,6.6984,185.0,72.4248,9.1809,32.0376,14.0954,22.3393,11.4075,16.3392,14.3962,13.9179,236.7743,12.2578,33.9269,18.7812,10.1355,12.0992,4.0582,29.9818,11.1552,8.6564,9.1641,4.0729,6.3001,7.895,12.8596,26.0702,11.7212,30.3784,11.8407,2.6095,6.0746,37.3388,10.5063,1.926,19.8238,4.0646,6.104,7.3396,35.4412,5.974,16.1899,58.5911,6.8937,35.8448,19.36,7.2742,24.173,5.094,29.8609,16.7184,16.7627,5.2394,15.4941,6.2149,6.6964,15.0436,12.266,12.349,26.4262,7.4454,36.7277,26.7133,5.411,4.4066,16.686,16.4384,2.3733,3.6366,27.2309,13.8725,13.7565,14.9397,29.4895,151.1958,34.1068,25.5446,3.2937,18.2045,25.0754,24.845,6.256,11.7675,4.7238,20.3313,13.7978,15.7155,24.1983,11.55,18.7708,17.1743,2.6296,8.5018,1.8292,9.2196,7.7654,7.8173,22.4998,8.1094,13.0973,5.1584,34.4521,3.331,2.8209,10.5679,5.6923,18.8358,2.4472,28.9835,4.282,22.2054,20.8039,17.5132,407.28,28.7185,19.125,32.1924,20.1049,23.1584,5.6377,12.5959,21.1974,24.2362,17.7622,13.1292,10.845,4.5764,13.9268,16.3207,10.8021,18.6433,33.8045,25.6862,19.1522,12.054,19.7586,8.0824,19.6381,5.1768,5.3035,7.1669,15.5203,6.8815,10.8018,6.9323,4.8977,10.6233,41.9092,13.1932,9.2754,54.619,16.0206,10.9547,0.8197,9.8491,1.0838,916.3286,10.0262,10.2279,8.9922,22.7379,15.9197,13.2584,8.0383,11.4684,28.8019,20.4763,9.5156,26.0977,20.9021,26.0357,38.0116,12.4167,26.6963,188.4732,9.5042,24.6734,0.979,22.6173,20.8333,3.1061,3.5976,28.88,8.9074,29.3229,5.0619,23.7219,17.0203,26.5095,11.909,0.6996,1.4116,29.4947,30.4273,30.2853,2.1975,13.6881,14.5736,15.342,6.0032,7.2117,32.6952,6.0517,37.1
1999-11-26,1416.6199951171875,10.8935,14.9275,15.0924,11.9852,30.8431,11.8034,18.494,9.3389,13.8868,23.0995,11.11,5.9775,11.8533,31.1988,4.7635,29.3678,14.0601,10.0195,19.836,21.0392,2.2227,24.2247,35.7961,5.6116,31.9438,32.6717,10.538,6.5263,206.5,84.304,8.6877,31.6961,14.3589,25.1944,11.985,16.6782,14.3397,13.2442,227.8901,11.8552,32.6691,18.6216,10.2339,11.4127,4.1693,29.8744,10.5993,8.0875,9.1197,3.9119,6.2442,7.6789,13.6905,26.2463,11.1713,32.1225,11.272,2.3465,5.9865,35.33,10.1754,1.87,18.8447,3.9086,6.104,7.7338,34.6516,6.4423,15.328,56.6635,7.1294,34.7493,18.0892,7.4061,22.929,4.9106,30.7302,16.0734,17.8584,5.109,14.8767,5.9145,6.4295,17.2026,12.3115,12.1478,24.6696,7.4233,36.5059,28.3037,5.4804,4.2134,15.5022,15.8763,2.3333,3.5853,27.2691,13.7443,13.097,14.4433,30.5671,148.9337,32.9358,24.6745,3.1751,18.422,23.6662,24.875,6.1435,12.9433,4.6221,18.9409,13.0541,17.2897,23.9872,11.1461,18.3191,16.9772,2.5505,8.5937,1.819,10.0,7.1641,7.9403,19.7801,7.8757,12.6295,5.078,34.4226,3.1791,2.6606,10.088,5.6587,17.5868,2.3749,28.4098,4.0552,22.6318,21.4338,16.9168,381.78,28.1725,18.5555,33.8022,20.3478,22.7798,5.2449,12.5959,20.7006,23.7378,16.9487,12.8463,11.25,4.3673,13.672,15.4103,10.1009,18.5597,33.0852,25.8123,19.3631,11.3747,18.617,7.6155,19.7121,4.9157,5.6298,6.9984,15.2603,6.5259,10.6554,6.7069,4.9113,10.0551,40.8133,12.9196,9.399,55.176,16.3694,10.5281,0.7312,9.6998,1.1482,883.722,9.3317,10.0445,8.8642,22.1623,16.263,12.3126,7.9301,11.4983,27.405,21.1709,9.4315,24.5444,20.2075,24.9931,38.064,12.4662,25.5664,178.9278,9.1865,24.0713,1.0939,28.7141,23.1667,2.9562,3.6426,27.81,8.5976,27.5988,4.9872,23.3951,16.4219,25.2511,11.5655,0.7194,1.3454,30.162,28.9638,27.8395,2.3279,15.7665,14.5182,15.0494,5.8962,8.7589,32.1889,5.9583,37.66
1999-12-03,1433.300048828125,10.931,14.8238,16.1296,12.9027,33.5066,12.151,18.6423,9.2097,13.3684,22.6505,10.9141,5.8406,12.5303,31.1663,4.7409,29.7848,13.8795,10.2119,18.9814,21.8761,2.4276,24.5109,33.5271,6.1563,31.0615,32.0686,10.2778,7.0322,207.0,87.6677,8.7556,30.7729,15.8071,26.3904,11.53,16.8477,14.1541,12.7298,239.6659,12.1778,35.0785,22.2366,10.5291,11.2818,4.1418,33.0007,10.5653,7.9791,9.8365,3.7595,6.2039,7.3729,13.5895,25.1894,11.2924,32.9395,11.7325,2.2397,5.5902,37.8989,11.1597,1.9491,20.3781,3.8058,6.2576,7.7338,35.2312,8.1922,15.9232,57.9461,6.5233,35.3293,18.8422,7.2883,23.9219,5.0462,31.6858,16.7684,18.5424,4.4775,14.4292,6.1942,6.4295,15.2838,12.3462,12.1136,25.6538,7.5593,36.2237,29.8568,5.752,4.1743,14.8452,15.9578,2.3333,3.731,26.9021,13.4638,13.2854,14.7939,34.0867,149.6145,33.0144,25.1369,3.2263,18.1015,24.5418,23.875,6.1435,13.2704,4.5944,17.8325,12.7566,17.7866,24.5869,11.2315,16.552,16.8313,2.6056,7.5604,1.8809,10.3181,7.028,8.5723,19.5625,8.0891,12.8968,5.3953,33.4678,3.124,2.679,10.2453,5.7277,17.202,2.4472,29.951,4.1391,23.8271,21.9704,17.2634,371.28,26.5483,19.4762,33.2448,20.1409,22.9363,5.4727,11.4273,21.3945,23.6633,17.2198,12.8837,10.25,4.3097,14.7114,15.8225,10.3228,20.1733,34.6527,26.516,20.6122,11.4031,18.1982,7.7898,20.3662,4.9709,5.8142,7.2994,15.1546,6.7933,10.7029,6.256,4.9979,10.6233,43.8092,13.2226,9.2605,58.7861,15.6499,10.5445,0.7289,9.8849,1.0676,869.9277,9.833,10.199,8.933,23.3136,15.617,12.1614,7.9693,11.785,26.7696,21.5483,9.9996,25.2986,21.0135,25.2248,38.6198,12.2683,25.2377,186.3988,9.201,26.1107,1.247,26.9441,21.135,3.0059,3.696,27.38,8.396,27.7816,4.7989,24.6761,17.3734,26.1901,11.9746,0.8703,1.316,30.3756,30.3908,28.6263,1.8667,15.3906,15.5384,14.6837,5.8586,8.838,33.1803,6.1667,36.8
1999-12-10,1417.0400390625,10.7373,14.0484,17.3471,12.6979,35.1559,10.5973,17.3995,8.8827,12.1512,20.7968,11.11,5.7493,12.1114,31.742,4.7564,28.176,12.838,9.9646,17.8314,22.4556,2.7723,24.3069,32.4397,6.0067,28.6771,30.839,10.1477,7.3411,243.5,106.0187,8.3768,28.7706,16.4093,29.6892,9.78,15.7213,13.7071,12.1538,235.2238,11.5817,32.4958,21.3361,10.5291,10.6625,3.6414,36.1593,9.7598,7.4508,10.5066,3.6611,5.9526,7.0576,13.0537,24.661,10.9213,34.4044,11.2511,2.4551,5.8864,36.9206,11.2665,1.8964,20.2118,3.5143,6.0948,7.7338,33.3915,7.8591,15.5375,60.101,6.4728,32.5033,19.6364,7.1846,22.9463,4.7288,30.9426,15.8648,19.1478,3.6404,14.2905,5.697,6.2372,15.4979,8.0621,11.1883,24.2666,7.3534,33.2001,29.1579,5.8133,4.1188,13.8605,15.1812,2.25,4.0959,29.0835,12.4457,12.6975,13.7063,31.6896,161.9021,34.2296,23.6156,3.0498,18.1015,22.1064,23.0,5.6431,12.9618,4.4488,20.6198,12.6792,16.4691,24.1485,9.7386,15.5443,17.0285,2.4555,5.9056,1.8154,10.4157,7.3456,8.1748,20.1509,7.7503,12.5119,5.2896,29.6535,2.8621,2.5371,9.7007,5.7519,16.5412,2.5415,27.8439,4.0824,26.7284,21.8071,17.1258,350.28,25.7648,18.6646,35.048,19.0588,20.791,5.1568,11.532,22.8692,23.7722,17.0843,12.462,10.0,4.0774,13.8418,15.4894,9.964,19.6053,36.6064,23.9401,20.5815,10.8443,17.7135,7.3043,19.0541,5.0365,5.4693,6.8117,15.0156,6.543,9.813,6.8196,4.556,11.4486,41.4618,11.9716,8.6273,57.278,14.6969,10.3913,0.7252,9.4405,0.9139,934.3359,9.4574,10.2569,8.5021,25.4176,15.1335,12.0747,7.2055,10.8102,23.1608,21.488,9.8315,23.8484,21.3741,22.82,41.3597,12.0486,23.7787,196.9213,8.4419,24.3389,1.5078,28.0749,19.8133,2.9057,3.6695,31.75,8.1265,27.5158,4.7631,25.5986,18.0287,25.2128,11.7109,0.7795,1.291,29.468,30.4591,26.9614,1.8251,13.1106,14.8651,14.043,5.6069,8.1262,35.3952,5.98,35.74
1999-12-17,1421.030029296875,10.5406,13.7872,18.5893,11.8296,33.4726,9.9038,17.2421,9.2559,12.7807,23.6205,11.068,5.669,11.2212,36.8904,4.6746,28.1493,11.5109,9.7944,17.6503,22.0435,2.6448,22.8264,33.0269,5.6595,26.7182,32.1361,10.4703,7.1052,281.8,111.4687,8.3768,26.1907,15.8523,27.9144,10.03,15.8252,13.6269,13.4345,228.3929,10.3069,35.6375,25.229,10.1119,9.9087,3.6957,37.6576,9.3361,7.1561,10.8905,3.6821,6.0439,7.018,12.7664,26.7325,10.7979,34.3631,10.815,2.4418,6.0109,34.7251,11.7475,1.8094,20.4705,3.7241,6.303,6.8153,33.6015,7.2267,15.0899,58.7744,6.1824,33.8841,20.6498,7.1399,21.9361,4.4684,30.6904,16.4737,17.253,3.5878,14.1964,5.9145,6.1412,16.8792,8.0832,10.9067,24.574,7.2836,33.7947,35.799,5.8133,4.1312,12.5993,14.6148,2.1867,4.4597,31.5977,11.0155,13.7113,15.5616,31.2786,166.7776,37.6642,23.2427,3.1751,17.9928,22.5545,22.125,5.6213,12.789,4.5343,18.7703,13.3159,15.5577,24.0572,9.3046,16.753,15.475,2.5065,5.9755,1.8,10.4391,7.062,7.9999,17.8663,7.7503,13.2977,5.37,35.1904,2.6419,2.3498,9.353,5.4948,17.202,2.6231,26.4171,4.1708,25.7003,21.9704,16.3996,341.64,25.9013,19.1634,33.4087,19.5624,19.6856,5.1376,10.2256,25.0378,22.4833,17.9303,11.9949,9.595,4.8856,13.8622,15.1562,9.4491,20.0098,40.6167,22.2804,19.5006,9.6936,16.8187,7.0802,19.4902,5.0082,5.9191,6.6402,13.5919,6.8104,10.0622,6.4814,4.5286,11.9383,39.8407,12.3674,9.2135,57.8035,13.7034,10.2382,0.7193,9.3331,0.8935,865.7454,10.3215,10.3196,8.2529,24.5742,16.7441,13.3088,7.0188,11.3102,20.9199,23.3498,9.8752,22.7455,20.0383,21.0345,42.5362,11.8289,22.8296,197.9477,8.1703,25.843,1.4085,20.036,20.3333,3.3586,3.5545,30.56,7.7252,26.1207,5.2113,27.4436,18.1783,23.2357,11.0168,0.7568,1.2685,28.3603,29.6363,26.301,1.8374,12.8709,14.081,14.555,6.3649,7.4342,32.7226,6.25,35.1
1999-12-23,1458.3399658203125,10.9716,14.1521,21.8709,12.2392,34.3718,9.8735,17.3498,9.1784,13.671,23.9285,11.3935,5.658,11.4307,37.8228,4.4968,28.7329,11.6411,9.9496,18.9014,22.9963,3.0309,23.1324,39.2829,5.7237,27.9987,32.6549,10.0176,7.0974,281.4,148.4262,8.3768,28.113,16.9512,32.6022,10.565,15.1088,13.6818,12.6681,233.1284,10.7094,30.7796,25.9891,9.9997,10.2838,3.8082,34.0125,9.4545,7.2611,10.6547,3.455,6.1039,6.6426,13.3954,28.2756,11.048,35.9866,10.9685,2.5485,6.7265,34.4488,11.9836,1.8745,22.4658,3.7762,6.4017,7.3396,33.6015,7.7095,14.9423,59.3681,6.2624,33.1384,21.5838,7.008,22.7498,4.4207,31.5597,16.5266,17.592,3.9466,14.6777,6.063,6.4255,16.3197,8.28,11.3019,24.0393,7.4454,34.3944,36.4792,5.9873,4.3001,12.7621,15.7175,2.1033,4.4749,30.0861,11.9921,13.6397,14.9858,30.7847,173.398,37.9416,25.1071,3.2088,17.6322,24.8188,23.72,5.8026,12.3847,4.6082,16.7241,12.1616,15.4276,25.2298,9.5737,16.6351,15.8457,2.5141,7.1228,1.8154,10.964,6.8862,8.4471,16.813,7.7706,13.5811,5.2896,36.7309,2.6969,2.5187,9.32,5.4483,17.9281,2.7694,28.5242,4.2009,28.1219,22.6548,16.4382,330.0,26.0869,18.8683,35.2447,19.0768,19.8421,5.1578,9.95,24.2019,22.7354,18.3046,11.9602,10.625,4.8334,14.117,15.0297,9.7257,19.3643,39.9503,24.7301,19.7458,10.9059,18.3914,7.0227,20.5609,5.1664,6.3182,6.7726,13.6586,6.8445,10.2085,6.7069,4.5696,13.0109,43.2839,13.1639,9.1665,57.0783,14.3855,9.828,0.8866,9.6316,1.0869,915.9335,10.6752,10.0155,8.4594,27.7201,18.1078,14.4562,7.0879,11.1542,21.371,23.7875,10.1878,22.332,20.3188,21.6507,44.0937,12.006,22.7479,217.8839,8.2164,27.5398,2.0928,20.8497,31.77,3.0059,3.6084,30.38,7.6555,27.7453,5.023,28.2027,18.7409,24.7528,11.1927,0.7833,1.0942,29.2278,31.5743,26.7858,1.8374,12.258,14.4104,14.7744,6.4372,7.0338,33.6022,6.5317,34.34
1999-12-31,1469.25,10.7748,13.4513,22.9778,12.2883,37.3123,10.3366,18.6423,9.2559,13.9979,23.6925,11.243,5.8624,11.8257,57.1113,4.5786,29.1516,11.4059,9.8162,17.8879,23.2539,2.7875,24.0895,43.5381,5.8519,26.9711,33.7548,10.1477,7.1625,327.6,162.562,8.1767,27.0591,17.1319,32.0466,10.75,14.5237,12.9943,13.0538,233.3799,10.4359,32.2498,29.7,9.5943,10.2838,3.7597,37.4176,9.5997,7.6844,11.2441,3.497,6.3031,6.9198,13.2478,28.184,10.9213,36.9173,10.6615,2.8954,6.914,35.9871,12.2939,1.9586,23.408,3.8399,6.6851,7.7338,34.3912,8.1464,14.8518,69.0355,7.2346,34.6389,23.7473,7.6558,23.3468,4.614,31.7256,17.394,17.707,4.6658,14.03,6.2598,6.5535,16.9206,8.4324,11.3344,25.2844,7.3029,33.5125,36.2649,6.0305,4.6337,12.9715,16.2239,2.23,4.5833,29.4097,13.8101,14.7935,14.6838,31.5169,170.3704,40.4385,26.4146,3.167,19.309,25.1821,26.5,5.8933,13.4564,4.4488,18.5277,12.1973,15.1672,25.893,9.6041,16.6972,16.4371,2.51,6.9389,1.8308,11.0244,6.8465,8.7075,18.9147,7.686,14.7171,6.0301,38.4535,3.0404,2.5371,9.6015,5.6923,18.8104,2.6567,28.7831,4.0272,29.4469,22.7481,16.5757,284.28,25.4563,18.1659,31.6809,20.3071,19.5291,5.3775,10.3965,24.0994,22.9129,18.4152,12.5607,10.94,4.6173,13.5871,14.8631,10.1546,19.5279,42.4161,24.1924,19.6399,11.1095,18.2626,7.3432,20.7555,5.1858,6.5013,6.9051,13.3806,6.7399,10.1848,7.3831,4.7838,11.7253,38.3817,12.7974,8.981,56.6842,14.9196,10.8179,0.8973,9.6316,1.2685,904.223,10.8921,9.9238,8.3561,27.5417,18.6399,14.067,7.5702,10.9822,21.5844,23.2927,10.6165,22.2272,22.8481,21.7954,45.2389,11.517,22.5439,221.5551,8.6699,29.8147,2.0928,20.6506,32.75,3.357,3.6695,32.31,7.3955,28.615,6.3139,26.558,19.4501,24.8135,11.4795,0.7781,1.1373,29.2545,32.2995,28.0572,1.9319,13.6881,13.8274,14.6662,6.3996,6.1886,35.0788,6.385,36.6
2000-01-07,1441.469970703125,11.262,14.3055,21.1945,12.0835,33.0806,9.5791,19.4709,9.8433,14.1509,23.6032,11.7679,6.1824,12.0393,48.6467,4.223,29.3476,11.1456,9.6982,18.742,24.1552,2.4666,23.8653,49.2939,5.1516,30.082,31.6484,10.0176,7.3101,248.4,144.5942,8.5555,28.996,15.6415,32.7951,8.315,14.3542,12.3364,12.6964,226.2976,10.0978,32.9821,27.7455,8.7334,10.0296,3.7884,32.9164,8.786,7.8538,11.8925,3.3804,6.322,7.1764,13.5895,30.1216,11.3181,36.5037,11.1639,3.6217,7.0042,33.9783,12.2715,1.9243,21.5975,3.9238,6.8903,7.4717,39.9018,7.5429,14.8232,60.5114,6.9695,34.3443,22.9721,7.7288,24.6713,4.3519,29.4495,17.8305,16.7627,4.2626,14.2279,6.0008,6.6005,14.8073,8.011,12.1916,26.5554,7.4901,35.8105,34.6155,5.4039,4.1065,12.5838,14.589,2.2067,3.8476,28.0509,13.031,15.0506,15.9301,32.1421,166.5832,41.9256,26.6135,3.3274,21.0006,23.2706,26.03,5.8715,14.2691,4.6799,18.285,12.3104,15.8181,25.6527,9.3046,16.0765,15.7944,2.6167,6.9647,1.7159,10.4996,6.7727,8.4412,19.2262,7.8113,15.3024,5.7677,34.6982,2.7938,2.6081,9.6676,5.7742,20.9234,2.6531,28.8975,4.1708,26.7055,24.2102,15.4754,343.5,26.3435,17.4672,30.8187,19.6128,18.7947,6.2066,9.0955,24.5962,21.6986,18.7213,14.2289,12.405,4.4608,14.0762,17.0749,9.5525,19.2051,39.1771,28.0809,20.966,10.4323,19.1507,7.0118,21.2695,5.2693,6.2151,7.2633,13.6253,6.8112,10.2362,7.8899,4.4421,10.3784,34.7763,13.8293,8.7807,59.6427,18.3473,10.6661,0.8006,9.4823,1.5379,915.9335,9.7983,10.2569,8.1069,27.5861,18.5253,15.7074,7.247,11.0808,20.886,21.4087,10.9576,21.9901,23.2132,20.6284,44.8266,12.006,22.1493,193.81,8.2226,28.1822,1.7998,20.2523,36.1033,4.5088,3.5704,30.44,7.6423,27.0629,5.8657,27.5754,18.5344,23.3701,11.6831,0.753,1.1598,31.0963,30.3981,29.5465,1.9196,15.8673,13.4456,15.7252,6.1103,6.6631,32.1949,6.36,36.4
2000-01-14,1465.1500244140625,10.5218,15.3421,21.8914,11.9852,36.0003,9.4969,21.8571,9.8433,13.4102,29.6768,11.8309,6.1038,12.2716,45.5333,4.2668,29.1516,12.3528,9.6796,19.5993,23.0221,2.5141,26.0679,49.5186,5.7023,29.7569,31.7469,10.0176,7.1625,230.0,156.1754,8.2625,28.4415,16.9362,36.148,7.14,14.8354,11.2018,11.9572,243.0604,10.7585,33.4741,32.3825,8.3119,9.7207,4.1015,34.5379,9.2177,7.5795,11.4351,3.3565,6.243,7.2952,12.6654,21.0957,11.1514,37.0897,10.7731,4.2297,6.6822,34.9566,11.8543,2.0919,25.0523,3.8701,6.6757,7.4717,39.1122,7.2867,14.8518,62.7616,7.0494,34.0037,26.4476,7.6416,23.3671,4.265,36.9147,17.5164,17.8221,4.1729,13.6656,6.5187,6.5422,14.3722,8.1668,11.5041,25.6538,7.6549,34.4246,34.8671,4.8901,3.8882,13.0516,14.4857,2.3967,3.9572,28.198,12.425,14.9107,15.5948,33.8898,166.2419,42.4471,27.1256,3.252,18.6301,22.7799,24.25,6.0057,14.9298,4.5944,19.9246,12.7566,15.8988,25.1097,9.5476,16.4638,16.3858,2.547,6.7808,2.1095,11.403,7.0904,8.8009,20.2746,7.8757,14.2493,5.6873,36.0517,2.7938,2.5627,9.427,5.7984,21.8529,2.6231,30.4387,4.0411,25.5861,26.1001,15.3379,341.28,25.5764,16.7247,35.3759,20.2891,17.9362,6.238,9.0625,30.069,22.4146,18.5846,13.8632,11.5,4.7803,15.4145,17.6146,10.7373,19.4977,38.2146,29.1642,20.1636,10.0203,18.5609,6.6819,20.1482,5.7454,6.5422,7.4318,13.4529,7.0252,9.987,7.439,4.3008,11.953,36.0732,13.5823,8.5525,62.8586,18.5031,10.8032,0.8399,9.6675,1.6141,954.4111,9.8741,9.9576,8.3135,30.0503,19.4714,15.5943,7.1199,11.0533,22.9187,21.9638,10.7632,23.4955,22.1,20.5677,42.209,11.5595,22.8704,227.1975,7.9928,36.9339,1.7472,20.8497,38.5,3.6071,3.5325,29.75,7.8439,26.3865,5.6774,28.5981,18.9444,23.7331,11.4518,0.7601,1.1689,31.2297,33.4452,30.2069,1.861,14.9303,12.405,15.9271,6.1855,6.6136,33.6948,6.0733,34.02
2000-01-21,1441.3599853515625,10.4812,14.5377,24.47,11.8296,34.7392,8.8736,20.8214,9.3334,14.7387,28.1915,11.8973,6.4695,12.013,50.2359,3.7785,28.8175,11.3202,11.5417,21.0334,20.6529,2.7708,25.3689,54.1435,5.6647,29.0785,29.8325,9.9499,6.6724,269.0,177.0385,8.241,25.9017,17.0265,45.1801,6.78,14.5948,10.5439,11.6625,236.5229,9.4527,28.6833,30.8592,8.5098,8.2758,4.1871,34.2136,8.8089,7.8335,10.301,3.1322,6.4611,6.9293,12.0364,18.0095,11.088,39.7438,10.7731,3.6693,6.1541,30.9016,10.9356,2.0392,26.1054,3.9658,6.6757,7.2096,35.0716,7.4367,14.9423,62.8932,6.9989,33.7184,25.4151,7.0669,21.608,3.8773,35.8729,16.3013,18.1247,4.6658,13.5217,6.063,6.6947,14.6346,7.3912,10.9627,24.525,7.3965,32.6306,32.2268,4.6381,3.7852,11.8085,15.6939,1.9167,4.0225,27.9215,11.9676,14.0109,15.3697,33.5029,158.6785,38.5631,24.4856,3.3018,16.6509,20.6351,24.0,5.9151,13.7076,4.6938,23.1186,11.7154,17.4143,24.2975,9.2786,15.6122,18.6413,2.5798,6.1814,2.0509,11.0361,7.374,8.4233,19.0383,7.791,12.8808,5.5011,33.0396,2.5604,2.8294,8.8652,5.9028,19.9468,2.5781,28.0727,4.0411,37.0085,25.4701,14.3366,381.0,24.5363,17.8385,36.3267,18.7681,16.7933,5.91,8.5112,34.012,20.9345,17.2181,12.7284,10.345,4.7226,15.5606,17.6945,10.9792,19.0975,37.0177,28.9515,20.1302,9.6368,19.5303,6.0299,19.6381,5.8021,6.4294,7.6395,13.0691,6.8141,9.5677,7.045,4.073,12.1538,34.29,13.5527,7.7319,63.8466,16.244,9.7388,0.8554,9.142,1.4618,869.0913,8.6428,9.9238,8.0725,29.3561,19.7707,15.8347,6.4625,11.3836,21.5117,20.5556,10.4222,22.6408,20.8175,19.0506,40.8609,10.9429,22.4111,217.2369,7.7018,34.3913,1.5701,16.963,49.25,4.108,3.601,28.25,7.972,22.9138,5.4922,26.6845,18.3459,23.4312,11.1927,0.8424,1.1123,27.4888,33.5549,30.0312,1.6304,14.7232,12.0232,16.5298,6.1103,7.4391,32.047,5.9483,34.22
